Module, Date, Time (PDT), Vin (V), Iin (A), Vout (V), Iout (A), Power (W)
M431101029AJ2, 2015-6-15, 6:48:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:48:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:48:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101063AJA, 2015-6-15, 6:48:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:49:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101029AJ2, 2015-6-15, 6:49:00, 37.812500, 0.340576, 24.390625, 0.474854, 11.581974
M461101053AJ8, 2015-6-15, 6:49:00, 31.406250, 0.212891, 30.453125, 0.182983, 5.572416
M461101120AJF, 2015-6-15, 6:49:00, 32.781250, 0.190674, 9.773438, 0.507324, 4.958302
M421101006AJB, 2015-6-15, 6:49:00, 35.812500, 3.878906, 33.375000, 4.058594, 135.455566
M431101063AJA, 2015-6-15, 6:49:00, 33.843750, 0.294189, 1.547852, 4.261719, 6.596508
M461101194AJ0, 2015-6-15, 6:50:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101029AJ2, 2015-6-15, 6:50:00, 37.812500, 0.340576, 24.390625, 0.474854, 11.581974
M461101120AJF, 2015-6-15, 6:50:00, 32.812500, 0.194336, 9.632812, 0.527832, 5.084507
M421101006AJB, 2015-6-15, 6:50:00, 35.593750, 3.958984, 33.187500, 4.140625, 137.416992
M431101063AJA, 2015-6-15, 6:50:00, 34.125000, 0.297119, 1.550781, 4.328125, 6.711975
M461101194AJ0, 2015-6-15, 6:51:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:51:00, 31.359375, 0.225098, 30.390625, 0.195923, 5.954218
M461101053AJ8, 2015-6-15, 6:51:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:51:00, 37.812500, 0.340576, 24.390625, 0.474854, 11.581974
M461101120AJF, 2015-6-15, 6:51:00, 32.812500, 0.194336, 9.632812, 0.527832, 5.084507
M421101006AJB, 2015-6-15, 6:51:00, 35.593750, 3.958984, 33.187500, 4.140625, 137.416992
M431101063AJA, 2015-6-15, 6:51:00, 34.125000, 0.297119, 1.550781, 4.328125, 6.711975
M461101194AJ0, 2015-6-15, 6:52:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M421101006AJB, 2015-6-15, 6:52:00, 35.562500, 4.019531, 32.500000, 4.296875, 139.648438
M431101063AJA, 2015-6-15, 6:52:00, 34.437500, 0.301025, 1.534180, 4.460938, 6.843880
M461101053AJ8, 2015-6-15, 6:52:00, 31.359375, 0.225098, 30.390625, 0.195923, 5.954218
M431101029AJ2, 2015-6-15, 6:52:00, 36.812500, 0.449707, 25.250000, 0.589355, 14.881226
M461101120AJF, 2015-6-15, 6:52:00, 32.531250, 0.199585, 7.601562, 0.714355, 5.430218
M421101006AJB, 2015-6-15, 6:52:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101063AJA, 2015-6-15, 6:52:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:53:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:53:00, 30.531250, 0.248413, 26.921875, 0.240356, 6.470846
M431101029AJ2, 2015-6-15, 6:53:00, 34.218750, 1.171875, 26.765625, 1.437500, 38.475586
M461101120AJF, 2015-6-15, 6:53:00, 32.312500, 0.204956, 2.964844, 1.657227, 4.913418
M421101006AJB, 2015-6-15, 6:53:00, 35.562500, 4.019531, 32.500000, 4.296875, 139.648438
M431101063AJA, 2015-6-15, 6:53:00, 34.437500, 0.301025, 1.534180, 4.460938, 6.843880
M461101053AJ8, 2015-6-15, 6:54:00, 31.500000, 0.230103, 30.421875, 0.201904, 6.142307
M461101194AJ0, 2015-6-15, 6:54:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101063AJA, 2015-6-15, 6:54:00, 34.656250, 0.308105, 1.500000, 4.683594, 7.025391
M461101053AJ8, 2015-6-15, 6:54:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:54:00, 38.406250, 1.849609, 31.968750, 2.142578, 68.495544
M461101120AJF, 2015-6-15, 6:54:00, 32.468750, 0.206543, 1.768555, 2.478516, 4.383390
M421101006AJB, 2015-6-15, 6:54:00, 35.875000, 3.998047, 30.812500, 4.554688, 140.341309
M431101063AJA, 2015-6-15, 6:54:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101053AJ8, 2015-6-15, 6:55:00, 31.500000, 0.230103, 30.421875, 0.201904, 6.142307
